figma_variant_id,group_level,principal_label,principal_token_context,page_surface,section,subsection,item_type,item_key,item_label,permission_token,default_state,visibility_rule,notes
primary__home__issue_id_keypair__allow,2,Primary Author Key Bearer,IDENTITY_OPERATOR,Home,Authority Summary,Core Capabilities,capability,issue_id_keypair,Issue ID Keypair,principal.id_keypair.issue,allow,always-visible,
primary__home__rotate_id_keypair__allow,2,Primary Author Key Bearer,IDENTITY_OPERATOR,Home,Authority Summary,Core Capabilities,capability,rotate_id_keypair,Rotate ID Keypair,principal.id_keypair.rotate,allow,always-visible,
primary__home__revoke_id_keypair__allow,2,Primary Author Key Bearer,IDENTITY_OPERATOR,Home,Authority Summary,Core Capabilities,capability,revoke_id_keypair,Revoke ID Keypair,principal.id_keypair.revoke,allow,always-visible,
primary__home__issue_utility_keypair__allow,2,Primary Author Key Bearer,IDENTITY_OPERATOR,Home,Authority Summary,Core Capabilities,capability,issue_utility_keypair,Issue Utility Keypair,principal.utility_keypair.issue,allow,always-visible,
primary__delegation_and_permissions__create_delegation_grant__allow,2,Primary Author Key Bearer,IDENTITY_OPERATOR,Delegation & Permissions,Envelope Composer,Grant Controls,permission,create_delegation_grant,Create Delegation Grant,delegation.grant.create,allow,always-visible,
primary__delegation_and_permissions__revoke_delegation_grant__allow,2,Primary Author Key Bearer,IDENTITY_OPERATOR,Delegation & Permissions,Envelope Composer,Grant Controls,permission,revoke_delegation_grant,Revoke Delegation Grant,delegation.grant.revoke,allow,always-visible,
primary__delegation_and_permissions__inspect_delegation_grants__allow,2,Primary Author Key Bearer,IDENTITY_OPERATOR,Delegation & Permissions,Envelope Composer,Grant Controls,permission,inspect_delegation_grants,Inspect Delegation Grants,delegation.grant.inspect,allow,always-visible,
primary__id_keypair_minting__mint_primary_author__conditional,2,Primary Author Key Bearer,IDENTITY_OPERATOR,ID Keypair Minting,Permission Envelope Baseline,Principal Mint Options,permission,mint_primary_author,Mint Primary Author,principal.primary_author.mint,conditional,show-when-owner-envelope-allows,
primary__id_keypair_minting__mint_secondary_author__allow,2,Primary Author Key Bearer,IDENTITY_OPERATOR,ID Keypair Minting,Permission Envelope Baseline,Principal Mint Options,permission,mint_secondary_author,Mint Secondary Author,principal.secondary_author.mint,allow,always-visible,
primary__id_keypair_minting__mint_use_key__allow,2,Primary Author Key Bearer,IDENTITY_OPERATOR,ID Keypair Minting,Permission Envelope Baseline,Principal Mint Options,permission,mint_use_key,Mint Use Key,principal.use_key.mint,allow,always-visible,
